dataset,outcome,androgen,model,n,beta_androgen,se_HC3,ci95_low,ci95_high,p_androgen,r2,q_androgen
AC_platelet,mpv,fai,+log_homa_ir,887,-0.06065867403579995,0.025518305918167665,-0.1106736345818839,-0.01064371348971601,0.01745100862939224,0.005209129165456239,0.12861087031416127
AC_platelet,p_lcr,fai,+log_homa_ir,887,-0.4506372039775676,0.21382059207550122,-0.8697178635985805,-0.03155654435655475,0.035070088248468856,0.003925095952657887,0.12861087031416127
AC_platelet,pdw,fai,+log_homa_ir,888,-0.10624859232694506,0.052469178936861566,-0.20908629334158133,-0.003410891312308789,0.04287029010472042,0.0031366635265521747,0.12861087031416127
AC_platelet,mpv,dheas,+log_homa_ir,886,-0.00033970622164554047,0.0002168470359091379,-0.0007647186021817146,8.530615889063367e-05,0.11721506145943603,0.0030788590865219456,0.18418070332842754
AC_platelet,pdw,dheas,+log_homa_ir,887,-0.0007311266110987215,0.00046825932304596753,-0.0016488980196939242,0.00018664479749648142,0.11843619809902671,0.0026247018345382234,0.18418070332842754
AC_platelet,p_lcr,dheas,+log_homa_ir,886,-0.002778210658152821,0.0018003154906707447,-0.006306764180677037,0.0007503428643713945,0.12278713555228501,0.0026565398521825045,0.18418070332842754
AC_platelet,mpv,testosterone,+log_homa_ir,888,-0.1481304071753516,0.15615035785607748,-0.45417948474630454,0.15791867039560134,0.3428039621834218,0.001523754104559405,0.4399939229248414
AC_platelet,pdw,testosterone,+log_homa_ir,889,-0.2814352727498722,0.32816081918933376,-0.9246186594981269,0.36174811399838264,0.39110570926652566,0.0008809041232026305,0.4399939229248414
AC_platelet,p_lcr,testosterone,+log_homa_ir,888,-1.004536684046494,1.3103633792216767,-3.5728017139811814,1.5637283458881934,0.4433138756546293,0.0008233612194308293,0.4433138756546293
AC_platelet,mpv,fai,+log_homa_ir+age,887,-0.0609038222238784,0.02563692751896558,-0.11115127683531473,-0.010656367612442062,0.017519079062147606,0.0052921926011026965,0.1293863697833148
